state,assigned_est,fallback,year,ffs,pen_est,fallback_pct
AK,1590.1055958363452,0.0,2014,71383.0,2.22756902320769,0.0
AL,19802.723334327908,2760.9102054572168,2014,674129.0,2.9375272884459664,13.942073314084002
AR,23999.919419126472,4463.267459739419,2014,444779.0,5.395920090455366,18.59701018905283
AZ,103645.47638669876,16948.90894964967,2014,598257.0,17.324573951779715,16.352772489957694
CA,317304.46445100266,95338.22668338542,2014,2718795.0,11.6707756359344,30.04629224121973
CO,52486.45392772818,0.0,2014,419069.0,12.52453746942107,0.0
CT,99581.45684901002,23520.96047128319,2014,414271.0,24.037757132169528,23.619819608530882
DC,6619.807719453031,50.13496658199388,2014,60204.0,10.99562773146806,0.7573477766531916
DE,14284.68848728626,3009.336125856237,2014,151409.0,9.434504215262145,21.066865606027207
FL,410598.89338909835,79714.11683805438,2014,2208281.0,18.593598069679462,19.41410902988343
GA,175232.28182323778,31439.329782549532,2014,948452.0,18.475608868265105,17.941517085455384
HI,14.347873251498715,0.0,2014,100192.0,0.01432037812549776,0.0
IA,90015.85902894185,36890.2207546371,2014,459065.0,19.608521457515135,40.98191269026958
ID,28073.48311226598,0.0,2014,171598.0,16.360029319844042,0.0
IL,398846.74530512455,77770.94753845346,2014,1474204.0,27.05505786886513,19.49895503822085
IN,153138.20815712956,11935.149623930582,2014,820426.0,18.665694182915892,7.79371116298054
KS,55303.7254539518,22211.07035064552,2014,389990.0,14.180806034501348,40.16197854363245
KY,61155.14783928873,8478.999614817798,2014,596117.0,10.258916930617435,13.864735699928305
LA,32827.47453663957,1533.667898910914,2014,508967.0,6.449823767874847,4.671903399693901
MA,157028.94147688482,76809.78432389283,2014,836441.0,18.773462979084577,48.914412592661776
MD,166309.9683452092,35734.65864313118,2014,728265.0,22.83646314805863,21.486780978129246
ME,66772.80354481643,0.0,2014,221458.0,30.15145244010893,0.0
MI,265589.5099471086,22952.364442533537,2014,1215731.0,21.846075319878214,8.642044803314873
MN,47956.282965364786,0.0,2014,369520.0,12.977993874584538,0.0
MO,149901.30183769393,37997.27193182752,2014,756524.0,19.814480682396585,25.348193421941843
MS,25984.903788713094,16357.089794542782,2014,456374.0,5.69377391979234,62.94843316544321
MT,23114.97401755057,0.0,2014,151505.0,15.256905064222678,0.0
NC,178439.63502620527,94640.23784847709,2014,1165099.0,15.315405388400922,53.03767732688896
ND,4481.747710230776,0.0,2014,92030.0,4.869876899088097,0.0
NE,37738.36936526142,0.0,2014,252509.0,14.945356151765449,0.0
NH,48351.210327616434,5421.394251147205,2014,217110.0,22.27037461545596,11.212530595228355
NJ,313174.9058570484,35135.0,2014,1106217.0,28.31044052451268,11.218970403726312
NM,13617.29692285082,12494.0,2014,218512.0,6.231830253190131,91.75095520634609
NV,58686.736423470546,13487.921167263128,2014,252049.0,23.283860052398758,22.982912305665224
NY,316249.2580312454,59225.87235117746,2014,1801176.0,17.55793204169084,18.72759250721339
OH,193242.2446127855,13480.932362619274,2014,1171351.0,16.49738162282574,6.976182868105298
OK,20344.24355697622,6591.528345508912,2014,519067.0,3.91938681460702,32.399967720837765
OR,9513.200287987693,8342.0,2014,363225.0,2.6190929280714963,87.68868254075797
PA,113880.84343809068,50257.924758802714,2014,1328189.0,8.57414445068365,44.132027162342325
RI,15560.098551050187,0.0,2014,106653.0,14.589461666385557,0.0
SC,61740.735651596515,17005.792591201454,2014,668225.0,9.239512986134388,27.543877493078934
SD,401.86584217580145,0.0,2014,118348.0,0.33956285038682654,0.0
TN,120236.63775579698,47811.09416356204,2014,754328.0,15.939569756895805,39.7641642813294
TX,332859.5423446278,45185.397954404005,2014,2235761.0,14.887975161237172,13.574914402670503
UT,21936.827434461764,0.0,2014,193114.0,11.359522061819321,0.0
VA,253930.59370284952,25395.07492994201,2014,972847.0,26.101801588826355,10.000793744317164
VT,67571.82249723926,9758.541027733456,2014,111302.0,60.71033988359532,14.441731282491535
WA,64395.43408884222,0.0,2014,721427.0,8.926119217722961,0.0
WI,114726.57556536986,8279.0,2014,613037.0,18.71446186206866,7.216287908186297
WV,4908.861226302813,638.8718482809425,2014,289250.0,1.6970998189465212,13.014665088874777
WY,2844.365167177265,0.0,2014,84309.0,3.3737384705989455,0.0
AK,3860.9680419418078,0.0,2015,74618.0,5.174311884453895,0.0
AL,30073.54930367453,0.0,2015,674322.0,4.45982027928416,0.0
AR,97501.80782530468,0.0,2015,446657.0,21.829235369714272,0.0
AZ,135238.94298232681,4894.696368300449,2015,616634.0,21.93180119525145,3.6192950494593066
CA,364129.57383704203,94943.60888666102,2015,2755869.0,13.212876730970956,26.074127373447258
CO,56123.36975244802,0.0,2015,430901.0,13.02465525780818,0.0
CT,162899.54989386714,22022.34279341236,2015,412121.0,39.52711701026328,13.518970928870235
DC,7162.638432969446,46.7552915436542,2015,60160.0,11.905981437781657,0.6527663232090672
DE,31346.976986205296,2911.192434983211,2015,156300.0,20.055647463982915,9.286995796322959
FL,516229.1597643376,53303.78257589086,2015,2215364.0,23.3022275239797,10.325604737288462
GA,202649.94852841625,15141.202584642531,2015,942086.0,21.510769561209514,7.4716044561538
HI,14.517841849842991,0.0,2015,103650.0,0.01400660091639459,0.0
IA,117637.62739893656,44908.847513874054,2015,464411.0,25.330499794134195,38.175580812742595
ID,37662.92632121479,0.0,2015,175590.0,21.449357207822082,0.0
IL,542082.3694954216,112856.34731954754,2015,1456942.0,37.206859950184814,20.819040365506797
IN,283786.98542108736,12472.773166459534,2015,825116.0,34.39358652857142,4.395118101681882
KS,88500.42122813572,14820.312848835383,2015,396093.0,22.34334391876042,16.74603650826892
KY,94241.00988688078,7858.9272462822355,2015,593816.0,15.870405965295777,8.339179785653242
LA,34912.593977773344,830.9114108363667,2015,505746.0,6.903187366340681,2.3799761523459293
MA,194262.91241223985,54871.97287628523,2015,854059.0,22.745842197347002,28.24624226771756
MD,211827.29071017198,19021.8328403808,2015,749425.0,28.265308831460384,8.979878266208392
ME,72169.34059408493,0.0,2015,218587.0,33.01630041772152,0.0
MI,313269.73696330015,11806.94850259499,2015,1169509.0,26.786432337271467,3.768940024991366
MN,47277.88171940674,0.0,2015,362008.0,13.059899703710068,0.0
MO,176300.52319285044,12083.63380596442,2015,749863.0,23.511031107395674,6.853997700702486
MS,18978.937362766632,5137.0,2015,458036.0,4.143547092972306,27.066847325593155
