state_name,year,ffs,assigned_lo,assigned_hi,n_suppressed,pen_lo,pen_hi
Alabama,2016,674292.0,44039.0,44039.0,0,6.531146743547306,6.531146743547306
Alaska,2016,78268.0,4047.0,4047.0,0,5.170695558849083,5.170695558849083
Arizona,2016,639399.0,131017.0,131017.0,0,20.490648249371677,20.490648249371677
Arkansas,2016,448670.0,98277.0,98277.0,0,21.90407203512604,21.90407203512604
California,2016,2813891.0,274212.0,274212.0,0,9.744940369047699,9.744940369047699
Colorado,2016,447350.0,71924.0,71924.0,0,16.077791438470996,16.077791438470996
Connecticut,2016,412621.0,167577.0,167577.0,0,40.61281418056764,40.61281418056764
Delaware,2016,159290.0,83976.0,83976.0,0,52.71894029757047,52.71894029757047
District of Columbia,2016,59770.0,11655.0,11655.0,0,19.49974903797892,19.49974903797892
Florida,2016,2242553.0,494577.0,494577.0,0,22.05419448280598,22.05419448280598
Georgia,2016,942035.0,208984.0,208984.0,0,22.184313746304543,22.184313746304543
Hawaii,2016,106403.0,13.0,13.0,0,0.012217700628741671,0.012217700628741671
Idaho,2016,184391.0,35558.0,35558.0,0,19.28402145440938,19.28402145440938
Illinois,2016,1472951.0,468797.0,468797.0,0,31.82706009908001,31.82706009908001
Indiana,2016,823889.0,290041.0,290041.0,0,35.203892757398144,35.203892757398144
Iowa,2016,457865.0,155284.0,155284.0,0,33.91480021403689,33.91480021403689
Kansas,2016,398740.0,76334.0,76334.0,0,19.143802979385065,19.143802979385065
Kentucky,2016,591223.0,161796.0,161796.0,0,27.36632370526857,27.36632370526857
Louisiana,2016,507463.0,109785.0,109785.0,0,21.63408957894467,21.63408957894467
Maine,2016,215995.0,90215.0,90215.0,0,41.76717053635501,41.76717053635501
Maryland,2016,757618.0,229141.0,229141.0,0,30.244925542951727,30.244925542951727
Massachusetts,2016,865717.0,177255.0,177255.0,0,20.474935804656717,20.474935804656717
Michigan,2016,1172704.0,309215.0,309215.0,0,26.367693808497286,26.367693808497286
Minnesota,2016,353171.0,61018.0,61018.0,0,17.277183007664842,17.277183007664842
Mississippi,2016,458829.0,74820.0,74820.0,0,16.30672865054301,16.30672865054301
Missouri,2016,742845.0,164149.0,164149.0,0,22.097341975782296,22.097341975782296
Montana,2016,155819.0,35489.0,35489.0,0,22.775784724584295,22.775784724584295
Nebraska,2016,262993.0,71451.0,71451.0,0,27.168403721772062,27.168403721772062
Nevada,2016,265397.0,60207.0,60207.0,0,22.68563698911442,22.68563698911442
New Hampshire,2016,226252.0,63938.0,63938.0,0,28.259639693792764,28.259639693792764
New Jersey,2016,1124742.0,394505.0,394505.0,0,35.0751550133275,35.0751550133275
New Mexico,2016,227572.0,11517.0,11517.0,0,5.0608159175997045,5.0608159175997045
New York,2016,1803072.0,482087.0,482087.0,0,26.7369799985802,26.7369799985802
