year,fipstate,estab,emp
2014,01,3068,34859
2014,02,535,5265
2014,04,5067,42647
2014,05,1932,19223
2014,06,31825,280116
2014,08,3317,33612
2014,09,2687,30776
2014,10,705,9611
2014,11,458,5564
2014,12,19547,170524
2014,13,7408,76157
2014,15,1158,7264
2014,16,1057,8065
2014,17,8242,88435
2014,18,3362,43775
2014,19,1268,21304
2014,20,1405,21192
2014,21,3003,34228
2014,22,3557,34321
2014,23,693,9631
2014,24,4708,49044
2014,25,3623,57548
2014,26,6887,71826
2014,27,1511,38320
2014,28,1642,18657
2014,29,3388,37597
2014,30,504,6155
2014,31,1014,14207
2014,32,2247,16196
2014,33,731,8702
2014,34,8731,73902
2014,35,1056,10373
2014,36,16354,140405
2014,37,5121,65669
2014,38,230,5435
2014,39,6881,92802
2014,40,2586,21079
2014,41,2358,32082
2014,42,8964,123464
2014,44,788,7827
2014,45,2433,28236
2014,46,264,4688
2014,47,4486,59844
2014,48,20094,182095
2014,49,1953,18191
2014,50,352,4431
2014,51,5044,60575
2014,53,3280,44872
2014,54,1216,12066
2014,55,2317,45637
2014,56,374,2879
2016,01,3013,36142
2016,02,587,5345
2016,04,5164,50124
2016,05,1946,19988
2016,06,32207,303995
2016,08,3324,34139
2016,09,2775,34161
2016,10,708,9243
2016,11,434,6344
2016,12,20113,188569
2016,13,7511,86330
2016,15,1161,7667
2016,16,1090,8335
2016,17,7948,93674
2016,18,3953,58397
2016,19,1297,22147
2016,20,1509,21167
2016,21,3013,36674
2016,22,3680,36225
2016,23,659,10665
2016,24,4559,52340
2016,25,3516,61866
2016,26,6836,82695
2016,27,1609,39362
2016,28,1649,19286
2016,29,3559,45820
2016,30,499,7621
2016,31,1023,14148
2016,32,2346,18187
2016,33,735,8997
2016,34,8533,77679
2016,35,1059,10703
2016,36,15662,143515
2016,37,5218,67113
2016,38,226,5838
2016,39,6890,100874
2016,40,2674,23878
2016,41,2426,35105
2016,42,9111,123594
2016,44,735,7952
2016,45,2453,30524
2016,46,256,5097
2016,47,4581,65059
2016,48,21617,209363
2016,49,1974,19187
2016,50,319,4328
2016,51,5245,63727
2016,53,3474,58654
2016,54,1148,12060
2016,55,2440,49002
2016,56,376,2790
2018,01,2884,36047
2018,02,531,5093
2018,04,5211,49431
2018,05,2007,19992
2018,06,31881,219370
2018,08,3229,32996
2018,09,2834,36504
2018,10,685,9211
2018,11,441,6863
2018,12,20240,196987
2018,13,7539,91461
2018,15,1112,6670
2018,16,1231,13584
2018,17,7755,92017
2018,18,4142,67717
2018,19,1147,20288
2018,20,1434,20729
2018,21,2846,36495
2018,22,3654,37437
2018,23,599,10116
2018,24,4425,52024
2018,25,3327,59800
2018,26,6663,86489
2018,27,1575,37731
2018,28,1612,19035
2018,29,3424,46571
2018,30,471,7585
2018,31,1022,15050
2018,32,2343,18541
2018,33,737,9730
2018,34,8365,81321
2018,35,1014,10087
2018,36,15210,145068
2018,37,5429,75210
2018,38,175,4714
2018,39,6580,102151
