year,state,total_margin,operating_margin
2014,VT,5.0,-2.03
2014,NH,5.61,0.97
2014,ME,2.12,-4.9
2014,US,5.24,-0.89
2015,VT,4.95,-1.74
2015,NH,3.24,0.31
2015,ME,-1.34,-6.29
2015,US,3.59,-2.71
2016,VT,-2.2,-9.45
2016,NH,7.36,2.31
2016,ME,1.96,-4.91
2016,US,4.33,-3.38
2017,VT,6.09,-5.72
2017,NH,8.15,2.82
2017,ME,5.99,-3.73
2017,US,4.46,-3.55
2018,VT,3.13,-15.07
2018,NH,7.35,0.31
2018,ME,2.65,-6.88
2018,US,4.3,-2.91
2019,VT,1.98,-21.46
2019,NH,4.93,-5.24
2019,ME,-1.01,-10.72
2019,US,5.52,-4.07
2020,VT,2.89,-37.6
2020,NH,10.18,-7.81
2020,ME,-0.79,-16.62
2020,US,8.76,-5.78
2021,VT,6.81,-29.26
2021,NH,9.02,-4.49
2021,ME,4.11,-10.96
2021,US,6.87,-3.7
2022,VT,-6.56,-28.74
2022,NH,5.86,-5.43
2022,ME,10.82,0.75
2022,US,3.33,-5.17
2023,VT,2.93,-16.04
2023,NH,10.14,-4.93
2023,ME,0.17,-12.42
2023,US,6.36,-4.06
