year,state,margin_type,value,n_hospitals
2014,VT,total,5.0,14
2014,VT,operating,-2.03,14
2014,NH,total,5.61,27
2014,NH,operating,0.97,27
2014,ME,total,2.12,35
2014,ME,operating,-4.9,35
2014,MA,total,3.53,65
2014,MA,operating,-14.24,65
2014,US,total,7.76,4770
2014,US,operating,1.83,4770
2015,VT,total,4.95,14
2015,VT,operating,-1.74,14
2015,NH,total,3.24,26
2015,NH,operating,0.31,26
2015,ME,total,-1.34,34
2015,ME,operating,-6.29,34
2015,MA,total,5.05,61
2015,MA,operating,-13.6,61
2015,US,total,5.93,4730
2015,US,operating,-0.17,4730
2016,VT,total,4.23,13
2016,VT,operating,-2.56,13
2016,NH,total,7.36,26
2016,NH,operating,2.31,26
2016,ME,total,1.96,33
2016,ME,operating,-4.91,33
2016,MA,total,3.55,61
2016,MA,operating,-14.43,61
2016,US,total,6.62,4695
2016,US,operating,-0.88,4695
2017,VT,total,6.09,14
2017,VT,operating,-5.72,14
2017,NH,total,8.15,27
2017,NH,operating,2.82,27
2017,ME,total,5.99,28
2017,ME,operating,-3.73,28
2017,MA,total,3.09,60
2017,MA,operating,-16.01,60
2017,US,total,6.92,4643
2017,US,operating,-0.84,4643
2018,VT,total,3.13,14
2018,VT,operating,-15.07,14
2018,NH,total,7.35,26
2018,NH,operating,0.31,26
2018,ME,total,2.65,33
2018,ME,operating,-6.88,33
2018,MA,total,8.43,59
2018,MA,operating,-9.03,59
2018,US,total,6.48,4660
2018,US,operating,-0.52,4660
2019,VT,total,1.98,14
2019,VT,operating,-21.46,14
2019,NH,total,4.93,27
2019,NH,operating,-5.24,27
2019,ME,total,1.28,38
2019,ME,operating,-8.21,38
2019,MA,total,1.0,59
2019,MA,operating,-15.72,59
2019,US,total,6.7,4592
2019,US,operating,-2.67,4592
2020,VT,total,2.89,14
2020,VT,operating,-37.6,14
2020,NH,total,10.18,27
2020,NH,operating,-7.81,27
2020,ME,total,-0.79,34
2020,ME,operating,-16.62,34
2020,MA,total,5.15,59
2020,MA,operating,-26.42,59
2020,US,total,9.5,4541
2020,US,operating,-4.85,4541
2021,VT,total,6.81,14
2021,VT,operating,-29.26,14
2021,NH,total,9.02,28
2021,NH,operating,-4.49,28
2021,ME,total,4.11,35
2021,ME,operating,-10.96,35
2021,MA,total,13.14,59
2021,MA,operating,-19.6,59
2021,US,total,7.75,4565
2021,US,operating,-2.7,4565
2022,VT,total,-6.56,14
2022,VT,operating,-28.74,14
2022,NH,total,5.86,26
2022,NH,operating,-5.43,26
2022,ME,total,10.82,33
2022,ME,operating,0.75,33
2022,MA,total,-1.69,59
2022,MA,operating,-26.04,59
2022,US,total,4.12,4533
2022,US,operating,-4.25,4533
2023,VT,total,2.93,14
2023,VT,operating,-16.04,14
2023,NH,total,10.14,26
2023,NH,operating,-4.93,26
2023,ME,total,0.17,33
2023,ME,operating,-12.42,33
2023,MA,total,3.51,59
2023,MA,operating,-24.57,59
2023,US,total,7.34,4541
2023,US,operating,-2.82,4541
