year,state,margin_type,value,n_hospitals
2014,VT,total,4.12,14
2014,VT,operating,-5.03,14
2014,NH,total,3.14,27
2014,NH,operating,-2.64,27
2014,ME,total,0.42,35
2014,ME,operating,-4.48,35
2014,MA,total,-0.73,65
2014,MA,operating,-9.29,65
2014,US,total,-1.63,4770
2014,US,operating,-10.22,4770
2015,VT,total,2.85,14
2015,VT,operating,-4.68,14
2015,NH,total,1.74,26
2015,NH,operating,-0.61,26
2015,ME,total,-1.6,34
2015,ME,operating,-6.14,34
2015,MA,total,6.23,61
2015,MA,operating,-6.83,61
2015,US,total,1.47,4730
2015,US,operating,-6.34,4730
2016,VT,total,2.65,13
2016,VT,operating,-6.23,13
2016,NH,total,5.02,26
2016,NH,operating,0.85,26
2016,ME,total,0.66,33
2016,ME,operating,-5.23,33
2016,MA,total,3.16,61
2016,MA,operating,-7.23,61
2016,US,total,2.64,4695
2016,US,operating,-6.33,4695
2017,VT,total,2.84,14
2017,VT,operating,-8.48,14
2017,NH,total,7.21,27
2017,NH,operating,1.94,27
2017,ME,total,1.73,28
2017,ME,operating,-3.36,28
2017,MA,total,2.05,60
2017,MA,operating,-9.41,60
2017,US,total,2.1,4643
2017,US,operating,-6.9,4643
2018,VT,total,1.05,14
2018,VT,operating,-16.55,14
2018,NH,total,6.54,26
2018,NH,operating,0.11,26
2018,ME,total,0.83,33
2018,ME,operating,-4.35,33
2018,MA,total,3.39,59
2018,MA,operating,-7.45,59
2018,US,total,2.01,4660
2018,US,operating,-6.69,4660
2019,VT,total,-0.43,14
2019,VT,operating,-21.52,14
2019,NH,total,5.17,27
2019,NH,operating,-3.07,27
2019,ME,total,-1.01,38
2019,ME,operating,-7.16,38
2019,MA,total,3.71,59
2019,MA,operating,-9.1,59
2019,US,total,2.3,4592
2019,US,operating,-8.17,4592
2020,VT,total,2.84,14
2020,VT,operating,-35.56,14
2020,NH,total,7.43,27
2020,NH,operating,-7.28,27
2020,ME,total,0.85,34
2020,ME,operating,-14.77,34
2020,MA,total,4.31,59
2020,MA,operating,-19.02,59
2020,US,total,6.03,4541
2020,US,operating,-10.93,4541
2021,VT,total,10.35,14
2021,VT,operating,-20.25,14
2021,NH,total,10.48,28
2021,NH,operating,-0.94,28
2021,ME,total,4.73,35
2021,ME,operating,-7.02,35
2021,MA,total,2.55,59
2021,MA,operating,-15.15,59
2021,US,total,-1.9,4565
2021,US,operating,-68833.57,4565
2022,VT,total,-3.69,14
2022,VT,operating,-23.13,14
2022,NH,total,2.19,26
2022,NH,operating,-2.38,26
2022,ME,total,2.16,33
2022,ME,operating,-7.81,33
2022,MA,total,-2.78,59
2022,MA,operating,-16.72,59
2022,US,total,706217.17,4533
2022,US,operating,706206.9,4533
2023,VT,total,0.41,14
2023,VT,operating,-23.05,14
2023,NH,total,9.27,26
2023,NH,operating,0.18,26
2023,ME,total,0.04,33
2023,ME,operating,-8.13,33
2023,MA,total,0.97,59
2023,MA,operating,-18.91,59
2023,US,total,-inf,4541
2023,US,operating,-2860403.35,4541
