geoid,name,intent,period,count_sup,rate,data_as_of,ttm_date_range
01,Alabama,All_Suicide,2019,804,16.4,2026-06-22T00:00:00.000,
01,Alabama,All_Suicide,2020,793,15.8,2026-06-22T00:00:00.000,
01,Alabama,All_Suicide,2021,827,16.4,2026-06-22T00:00:00.000,
01,Alabama,All_Suicide,2022,840,16.6,2026-06-22T00:00:00.000,
01,Alabama,All_Suicide,2023,869,17.0,2026-06-22T00:00:00.000,
01,Alabama,All_Suicide,2024,837,16.4,2026-06-22T00:00:00.000,
01,Alabama,All_Suicide,TTM,859,16.8,2026-06-22T00:00:00.000,"February, 2025 to January, 2026"
02,Alaska,All_Suicide,2019,210,28.7,2026-06-22T00:00:00.000,
02,Alaska,All_Suicide,2020,204,27.8,2026-06-22T00:00:00.000,
02,Alaska,All_Suicide,2021,220,29.9,2026-06-22T00:00:00.000,
02,Alaska,All_Suicide,2022,200,27.3,2026-06-22T00:00:00.000,
02,Alaska,All_Suicide,2023,206,28.1,2026-06-22T00:00:00.000,
02,Alaska,All_Suicide,2024,222,30.3,2026-06-22T00:00:00.000,
02,Alaska,All_Suicide,TTM,225,30.7,2026-06-22T00:00:00.000,"February, 2025 to January, 2026"
04,Arizona,All_Suicide,2019,1419,19.5,2026-06-22T00:00:00.000,
04,Arizona,All_Suicide,2021,1475,20.3,2026-06-22T00:00:00.000,
04,Arizona,All_Suicide,2022,1603,21.8,2026-06-22T00:00:00.000,
04,Arizona,All_Suicide,2023,1506,20.3,2026-06-22T00:00:00.000,
04,Arizona,All_Suicide,2024,1516,20.4,2026-06-22T00:00:00.000,
04,Arizona,All_Suicide,2020,1363,19.0,2026-06-22T00:00:00.000,
04,Arizona,All_Suicide,TTM,1530,20.6,2026-06-22T00:00:00.000,"February, 2025 to January, 2026"
05,Arkansas,All_Suicide,2019,548,18.2,2026-06-22T00:00:00.000,
05,Arkansas,All_Suicide,2020,583,19.3,2026-06-22T00:00:00.000,
05,Arkansas,All_Suicide,2021,618,20.4,2026-06-22T00:00:00.000,
05,Arkansas,All_Suicide,2022,547,18.0,2026-06-22T00:00:00.000,
05,Arkansas,All_Suicide,2023,626,20.4,2026-06-22T00:00:00.000,
05,Arkansas,All_Suicide,2024,592,19.3,2026-06-22T00:00:00.000,
05,Arkansas,All_Suicide,TTM,571,18.6,2026-06-22T00:00:00.000,"February, 2025 to January, 2026"
06,California,All_Suicide,2019,4436,11.2,2026-06-22T00:00:00.000,
06,California,All_Suicide,2020,4144,10.5,2026-06-22T00:00:00.000,
06,California,All_Suicide,2021,4148,10.6,2026-06-22T00:00:00.000,
06,California,All_Suicide,2022,4312,11.0,2026-06-22T00:00:00.000,
06,California,All_Suicide,2023,4200,10.8,2026-06-22T00:00:00.000,
06,California,All_Suicide,2024,4022,10.3,2026-06-22T00:00:00.000,
06,California,All_Suicide,TTM,3884,10.0,2026-06-22T00:00:00.000,"February, 2025 to January, 2026"
08,Colorado,All_Suicide,2019,1312,22.8,2026-06-22T00:00:00.000,
08,Colorado,All_Suicide,2020,1302,22.5,2026-06-22T00:00:00.000,
08,Colorado,All_Suicide,2021,1384,23.8,2026-06-22T00:00:00.000,
08,Colorado,All_Suicide,2022,1293,22.1,2026-06-22T00:00:00.000,
