state,year,deaths,percent_complete
AK,2015,121,100
AK,2016,129,100
AK,2017,141,100
AK,2018,105,100
AK,2019,133,100
AK,2020,146,100
AK,2021,255,100
AK,2022,247,100
AK,2023,357,100
AK,2024,339,100
AK,2025,331,100
AL,2015,720,100
AL,2016,740,100
AL,2017,807,100
AL,2018,740,100
AL,2019,739,100
AL,2020,989,100
AL,2021,1333,100
AL,2022,1452,100
AL,2023,1598,100
AL,2024,1176,100
AL,2025,859,100
AR,2015,381,100
AR,2016,386,100
AR,2017,425,100
AR,2018,433,100
AR,2019,362,100
AR,2020,514,100
AR,2021,627,100
AR,2022,591,100
AR,2023,517,100
AR,2024,389,100
AR,2025,372,100
AZ,2015,1267,100
AZ,2016,1393,100
AZ,2017,1555,100
AZ,2018,1730,100
AZ,2019,1981,100
AZ,2020,2644,100
AZ,2021,2780,100
AZ,2022,2737,100
AZ,2023,2720,100
AZ,2024,2531,100
AZ,2025,2975,100
CA,2015,4762,100
CA,2016,4755,100
CA,2017,5028,100
CA,2018,5494,100
CA,2019,6363,100
CA,2020,9209,100
CA,2021,11398,100
CA,2022,11761,100
CA,2023,12369,100
CA,2024,9687,100
CA,2025,8971,100
CO,2015,913,100
CO,2016,965,100
CO,2017,1040,100
CO,2018,1004,100
CO,2019,1100,100
CO,2020,1512,100
CO,2021,1917,100
CO,2022,1856,100
CO,2023,1926,100
CO,2024,1640,100
CO,2025,1816,100
CT,2015,799,100
CT,2016,974,100
CT,2017,1080,100
CT,2018,1070,100
CT,2019,1231,100
CT,2020,1385,100
CT,2021,1562,100
CT,2022,1476,100
CT,2023,1330,100
CT,2024,998,100
CT,2025,854,100
DC,2015,144,100
DC,2016,300,100
DC,2017,348,100
DC,2018,295,100
DC,2019,367,100
DC,2020,511,100
DC,2021,541,100
DC,2022,575,100
DC,2023,635,100
DC,2024,408,100
DC,2025,353,100
DE,2015,195,100
DE,2016,285,100
DE,2017,341,100
DE,2018,399,100
DE,2019,423,100
DE,2020,449,100
DE,2021,502,100
DE,2022,544,100
DE,2023,527,100
DE,2024,351,100
DE,2025,327,100
FL,2015,3352,100
FL,2016,4996,100
FL,2017,5440,100
FL,2018,4936,100
FL,2019,5524,100
FL,2020,7568,100
FL,2021,8163,100
FL,2022,7894,100
FL,2023,7330,100
FL,2024,5151,100
FL,2025,4059,100
GA,2015,1308,100
GA,2016,1370,100
GA,2017,1516,100
GA,2018,1375,100
GA,2019,1378,100
GA,2020,1868,100
GA,2021,2438,100
GA,2022,2619,100
GA,2023,2520,100
GA,2024,2010,100
GA,2025,1644,100
HI,2015,171,100
HI,2016,199,100
HI,2017,202,100
HI,2018,212,100
HI,2019,245,100
HI,2020,276,100
HI,2021,267,100
HI,2022,283,100
HI,2023,321,100
HI,2024,337,100
HI,2025,309,100
IA,2015,300,100
IA,2016,314,100
IA,2017,341,100
IA,2018,277,100
IA,2019,350,100
IA,2020,419,100
IA,2021,471,100
IA,2022,473,100
IA,2023,447,100
IA,2024,427,100
IA,2025,371,100
ID,2015,214,100
ID,2016,228,100
ID,2017,234,100
ID,2018,243,100
ID,2019,264,100
ID,2020,280,100
ID,2021,345,100
ID,2022,362,100
ID,2023,367,100
ID,2024,326,100
ID,2025,294,100
IL,2015,1864,100
IL,2016,2427,100
IL,2017,2765,100
IL,2018,2732,100
IL,2019,2775,100
IL,2020,3531,100
IL,2021,3786,100
IL,2022,3863,100
IL,2023,3537,100
IL,2024,2521,100
IL,2025,1957,100
IN,2015,1232,100
IN,2016,1506,100
IN,2017,1835,100
IN,2018,1612,100
IN,2019,1704,100
IN,2020,2267,100
IN,2021,2789,100
IN,2022,2666,100
IN,2023,2193,100
IN,2024,1695,100
IN,2025,1395,100
KS,2015,323,100
KS,2016,313,100
KS,2017,323,100
KS,2018,341,100
KS,2019,380,100
KS,2020,473,100
KS,2021,682,100
KS,2022,755,100
KS,2023,641,100
KS,2024,560,100
KS,2025,528,100
KY,2015,1248,100
KY,2016,1437,100
KY,2017,1566,100
KY,2018,1336,100
KY,2019,1369,100
KY,2020,2104,100
KY,2021,2397,100
KY,2022,2309,100
KY,2023,2131,100
KY,2024,1538,100
KY,2025,1177,100
LA,2015,875,100
LA,2016,1004,100
LA,2017,1102,100
LA,2018,1167,100
LA,2019,1304,100
LA,2020,1929,100
LA,2021,2512,100
LA,2022,2433,100
LA,2023,2255,100
LA,2024,1503,100
LA,2025,1207,100
MA,2015,1723,100
MA,2016,2198,100
MA,2017,2138,100
MA,2018,2238,100
MA,2019,2215,100
MA,2020,2296,100
MA,2021,2555,100
MA,2022,2647,100
MA,2023,2380,100
MA,2024,1598,100
MA,2025,1336,100
MD,2015,1320,100
MD,2016,2074,100
MD,2017,2284,100
MD,2018,2393,100
MD,2019,2360,100
MD,2020,2761,100
MD,2021,2724,100
MD,2022,2523,100
MD,2023,2493,100
MD,2024,1750,100
MD,2025,1386,100
ME,2015,267,100
ME,2016,357,100
ME,2017,409,100
ME,2018,338,100
ME,2019,362,100
ME,2020,490,100
ME,2021,620,100
ME,2022,706,100
ME,2023,592,100
ME,2024,478,100
ME,2025,375,100
MI,2015,1973,100
MI,2016,2342,100
MI,2017,2665,100
MI,2018,2575,100
MI,2019,2358,100
MI,2020,2750,100
MI,2021,3092,100
MI,2022,2969,100
MI,2023,2885,100
MI,2024,1945,100
MI,2025,1748,100
MN,2015,592,100
MN,2016,664,100
MN,2017,728,100
MN,2018,639,100
MN,2019,788,100
MN,2020,1065,100
MN,2021,1344,100
MN,2022,1392,100
MN,2023,1341,100
MN,2024,994,100
MN,2025,1025,100
MO,2015,1087,100
MO,2016,1386,100
MO,2017,1398,100
MO,2018,1635,100
MO,2019,1603,100
