year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
2014,71.13622934672549,-31.664878431558463,1.7954648840623122,-7.346326399989266,-10.20317484840416,0.06769842571611662,-25.682242976872658,63.77090668128949,58.53884403840493,45.71611175776343,-1.0135227869577648,3.258843207731843,-7.007299111760403,18.618970138789336,5.010361170647229,-3.974354986978142,-3.8147334014265653,4.153909773978739,21.67138893623087,3.4873173717642203e-06,-27.78863551145878,7.058740530330397,-27.9360469260846,-1.121756031352561e-05,-42.32811202121957,-15.693947644222135,-4.087461515831819,13.513044386168986,-50.33971582294362,15.911697936240671,28.18136795925784,30.731642846221803,-6.696096509067502,-12.760749104001661,176.16270293516027,-95.76674001221727,-19.432762650472796,-7.658601051432925,69.20499160167674,6.694808067022677,-1.2251182852196507e-05,-1.723462628433481e-05,1.4696630242960964,-8.176371525691138,-2.259299788849603,-2.14079500437947e-06,-4.250456186127849e-06,-47.10649653266046,-24.826858030149197
2015,-14.303518972256825,-9.45611973033374,-20.49748212198938,2.183482562264544,-16.34924034641881,-0.011317638078253367,21.37571583243698,-51.84708611971291,18.453383350577496,5.802199090430804,0.9626506678287114,-32.88488639353909,9.680543841580402,1.0049297330160698,-7.654151672379157,5.408088702783061,-0.36568567057656765,1.3064084240068041,-6.893613725291289,-2.428976586088538e-06,14.10319702698689,6.887600683263372,1.4231620754453616,8.370707291760482e-06,41.51560399740265,-4.830412451183292,3.482475598442761,-49.80778893491242,24.724231559885084,-17.104634988506405,-8.699398884744369,-34.975747630522164,-2.7008892770500097,-12.423838318758499,-105.12046105981608,11.82413498839378,20.813234398116947,5.620284572520177,56.84910938880421,5.521532450722589,-1.0117228157469071e-06,-6.07056608714629e-06,4.5946948107666685,9.986536641312341,-0.2380555742420256,-9.12451469048392e-07,-5.751931894337758e-06,-8.86526181183035,23.679803214345156
2016,-17.458004425321633,-51.11238230102754,8.627738404269621,2.383333546575159,17.336267800199494,0.049704091358762525,-6.101361212553456,-5.419222934244317,9.545407185765725,-12.969829038445823,0.5213116825852921,18.724954311558577,-23.309381268483776,7.26037017406361,3.3756466703034675,5.7624287021608325,-4.33730905522134,-18.685522932048116,13.430829224169429,-2.971053618239239e-06,24.684465571934197,8.580414982508955,10.978983679180601,-3.936567736673169e-06,-4.4452558141183545,-0.6985320809881159,1.0411173354459606,-18.323087605513138,6.358552701849476,10.7323367232284,-5.421452694014079,23.531736420069137,-14.599089259701941,0.5698981373661809,-46.27510112149503,27.13036612232827,-5.416167703102474,4.810778621369536,-66.40510084540074,-17.693763416269576,-2.1358937374316156e-07,-1.988564690691419e-06,29.022834634373794,-3.085878222793326,1.4647298573690932,7.482303772121668e-07,-8.281454938696697e-06,10.959785625986115,40.00716796144661
2017,-39.37470594914703,92.23338046291792,10.074278833661083,2.7795102911495633,9.216147394623476,-0.10608487899844476,10.407888356990952,-6.504597627334078,-86.53763457474452,-38.54848180974841,-0.47043956345078186,10.901088874245943,20.636136538661958,-26.884270045868107,-0.7318561685769964,-7.196162417963933,8.51772812722993,13.225204734058934,-28.20860443510901,1.9127128325635567e-06,-10.999027087464128,-22.526756196097267,15.533901171460457,6.783428034395911e-06,5.25776383793891,21.222892176393543,-0.4361314180532645,54.61783215426112,19.256931561209058,-9.539399670960847,-14.060516380503032,-19.287631635773323,23.996075045817634,24.61468928539034,-24.7671407538528,56.81223890148976,4.035695955459232,-2.7724621424549696,-59.649000145085665,5.477422898529767,1.3476499589160085e-05,2.5293751605204307e-05,-35.0871924694402,1.2757131071703043,1.0326255057279923,2.305012458236888e-06,1.82838412001729e-05,45.01197271849742,-38.86011314564621
2018,34.10922677981489,37.89357667948025,42.29811579454508,-74.10529663746456,90.24327541761522,39.36534551796831,484.11354044599466,-230.86285083968505,-64.8429894249166,82.42987474019537,121.24915433648675,-15.574554642557814,-81.93240003906794,-49.335976541373384,87.29242097268616,42.99249158082603,84.77779023420771,-13.301768398365311,164.1442099919168,155.39386803718662,-78.72928170623163,-83.41181052105094,37.46250659882935,57.545424549780364,154.62202012545458,26.19525716665612,-69.6885776960662,-144.5532931867565,-106.44274271729591,-105.65170803905312,-19.843219596750714,-236.24422697112186,38.29028756496518,53.96630443828326,11.931411613815726,143.2878193361248,-6.934502230234102,-107.1243250397838,-163.63805628847513,68.87780845374073,19.954036057797566,-81.01530667194493,-11.415221388508144,43.17189172678627,-8.571947767621168,-62.45717346504898,79.94472362185479,136.764195831287,-38.35254180765514
2019,-60.21210002532189,6.4928102064423,62.25110959050653,-12.840851887065583,136.062954278299,-59.12532237801133,649.6880470757296,-230.00807091967,7.850867483244656,218.9003160127013,199.04018978553358,-147.0597310359699,-94.05235114239076,-148.0043030100387,25.905535468984453,109.27025566324482,112.97314478195221,-62.44648506695921,200.64608096193115,73.8330394290333,-187.09836310380342,-164.56059733785696,327.9958355331637,103.53074309992007,281.16488163235226,-56.99377437774092,-201.11814568617956,-327.6021841137863,-135.59250620966304,-99.84926319456099,70.58090178692692,-214.20131688887886,130.8604677006333,154.7733602931985,-82.00954287673267,275.5614845019081,-177.41160922517338,-287.141696336319,-61.5627148316089,127.70618922207359,6.722273177520037,-151.42842037532318,20.856659458939248,6.680824979162935,-96.7740049801796,-156.07252702510232,-35.09868288297366,134.18621874238852,-60.86549302987078
2020,-170.68689579068905,7.320912556580879,177.8196059345919,-61.66195678143413,373.28004752247216,-66.56756621805835,608.8821219657875,2.775569654084393,31.720697047820067,340.20281454038377,292.79835516555795,-196.7426852092276,-41.28068614775657,76.58805404831583,130.2223226542792,348.56312337378404,93.84413601222514,64.42051106954204,749.2831852977743,-137.42518475015459,-383.4995873951884,-340.7717796566849,340.9341787221547,284.6996925043968,309.75828960011313,-167.17832465290485,-152.32368295569358,98.37680363436448,14.3406158342259,-242.85811750027278,-260.93870211344256,-245.01691687098173,280.2727667555009,-46.980131436843294,-240.94966615609883,294.32730620244183,-267.00193957041574,-398.5897799332397,-152.69363144914314,366.8861206472484,175.62210557208527,-61.101129585853414,-18.709560977309593,68.04928058549376,-125.52380204363908,-270.3423821557317,204.5804122624304,-61.87563293621679,38.47005431652087
2021,57.36572293654717,-21.65665344230547,-24.678931995367748,118.23382560789105,245.33931245606618,-12.968531916938446,673.6839985973056,-24.007793593196766,175.26105265129445,259.4624975852912,35.575852144436794,-447.34533154322617,90.3420636355022,-42.17449332217802,46.88596789150506,194.4422291620631,156.85246294018543,6.989377681489714,324.97831725533615,77.54730276730334,-317.49442987368275,-265.6999237903383,711.8081921190333,102.1159875637295,173.21822520699607,-225.80754090969822,-368.8504060945197,61.55175904091084,-102.58478442799787,-282.5221387367801,62.37280040431324,-194.3902048841519,172.11495670247132,366.21393439520944,-324.32172344790706,368.43759114825843,-575.8153570813565,-395.39657337658355,24.216416966106408,50.72476295999513,304.7449405597981,-454.04919435586453,-187.60152109800583,93.99454246392088,-348.1415214339813,-381.92163276503743,153.1150498578736,-140.605030848983,93.03064602205995
2022,141.34579644961195,-12.535465701244902,145.0662388902674,122.6879283824237,468.9376683216815,-32.93161277076251,812.8755004088689,-219.9006164027669,159.21882391283907,505.01852478213186,-4.20919343636524,-549.1369278664333,-26.530570517768865,-53.784441731888364,82.36035617300695,202.15835782581053,91.90194293120294,56.085765232146514,623.484781784251,138.31405939378965,-330.7500916510144,-406.28087982557736,509.5400360936146,18.70054631185849,442.93135643224196,-336.2087192044364,-539.8585714923429,-38.557266787796834,-29.942946883838886,-388.4526359560259,205.0961239338394,-185.7343811636456,460.0410728973602,424.04510152797775,-562.7598418266662,279.3379508275084,-521.5370596905123,-535.8754710562134,-20.391024177572035,231.22125528160905,262.0384181704321,-380.207763989838,-112.86991218062394,100.75186652449338,-399.00851106080336,-356.28291978901507,144.88856538485015,-107.7517099914221,-169.7263768787634
2023,98.06135759815515,-90.95602785789379,40.53865002642124,734.2012279851915,759.2237214319612,-161.80698668492914,534.6563241973618,-170.2383206865179,244.63239519924173,651.1299994677884,-189.28429507749024,-1283.0118628424698,-117.61805189401821,-14.030841570956909,340.058218678545,132.00584608740974,475.2867449732239,40.43820023055014,790.433584283719,193.2318812160138,-575.6379194632555,-461.1567448190326,566.5721651411641,-0.7206057247076387,571.8366540004863,-439.74881879161876,-697.623600181354,-275.5073805581069,-47.58304336875335,-619.8738791543055,178.70429676347158,-242.14936792703884,727.20521173417,123.36951151226094,-862.3124579925516,670.8575263428465,-800.5976746476499,-537.7396673541043,200.995240617096,133.2116689834238,229.58426734641762,-417.69345108515336,-90.99581009178837,-3.115647780790823,-476.8140113615482,-484.2640498206256,-0.07366864286086638,-123.14948943408672,-145.38966499760318
2024,-593.9121543801502,-254.55552891033767,245.2280593951673,560.2737213286491,1298.4610579084583,-183.88798386223607,498.7564706413941,-352.01546109717856,258.81645861976904,1106.5570333604246,-76.03515670461275,-1491.91727576027,-104.34236935288936,140.34035713192134,410.7854922464194,47.16173518985852,141.881432782493,163.03948285927436,693.6938158651337,236.31320334890916,-435.268197345762,-702.662707511272,460.68601516134004,72.15155074711038,751.3796555917379,-194.87454529004935,-782.6275861948106,50.252020071848165,-308.7683729612254,-649.1209387880626,181.23606375204872,-357.76448061061274,1131.259413545573,-113.49605400690234,-833.994592960531,606.9406651484169,-855.9426750606781,-696.9221270453672,94.79637258516777,313.51541474048463,90.11428522724418,-440.6910039109389,181.1210225585619,67.21072472763444,-398.5821627436708,-508.9515773394796,-112.83431791125622,-8.739350514928447,404.9412650716331
