State,Relative price,"Relative price, inpatient","Relative price, outpatient","Relative price, inpatient facility","Relative price, outpatient facility",rank
FL,3.45997319277659,3.20651389334096,4.01192211423925,3.48646189126042,4.55067853679202,1
WV,3.35066834102762,3.1442565389634,3.84751271474115,3.42270181184386,4.39586522894498,2
SC,3.25221415732325,2.86294258152263,3.93779555003251,3.03527424093277,4.3923552794687,3
WI,3.20747649789363,2.79155712552616,3.56072231314097,2.63362387963544,3.3639099013143,4
GA,3.16851547436241,3.12475344979498,3.3154446375594,3.4095159420307,3.65849377850529,5
CA,3.11568601982726,2.79926856468785,3.44081439600247,2.9317169102386,3.68413904865724,6
DE,3.09699169036968,2.88730530330671,3.31242403191967,3.16391430891146,3.90445221384995,7
NY,3.09573293295108,3.16613409313497,3.03910392218513,3.2208776212196,3.35482780432128,8
IN,2.99968340770001,2.80572441459669,3.20301997688932,3.09454306561672,3.69889983619814,9
AK,2.92942072681441,2.35201098988086,3.44740483373787,2.23969807490838,3.26483599054469,10
CO,2.91301801877749,2.86155864564715,2.96152691199434,3.0699042637806,3.20588886306607,11
ID,2.89408155298621,3.03980125159823,2.79667878000989,3.25822930668628,3.00589752408142,12
NE,2.85316932121908,2.84692934946081,2.86007750546063,2.9950498052806,2.98294432427893,13
VT,2.83322356997171,2.26943550411386,3.11446753505972,2.29668405297843,3.27569321211091,14
NC,2.79994205867928,2.21056507256626,3.28231718356031,2.27181466107624,3.57009506865893,15
AZ,2.79491724975763,3.01915585977093,2.61987705458991,3.31400215595978,2.8716844748507,16
OH,2.76568151098302,2.59426007049631,2.99974833591744,2.71436347129806,3.26317299769781,17
WY,2.69551743023943,2.17155149841478,3.60609626572271,2.22545574605495,3.75598633037744,18
NV,2.68382369389503,2.45301559824628,2.95384803041621,2.59099265476267,3.22022864781047,19
NJ,2.66669843918151,2.45795176931753,2.83901699666589,2.57218889338076,3.17583985924759,20
VA,2.61743312268655,2.61353362128498,2.621096696482,2.86288121368948,2.88768182472077,21
CT,2.57336726698834,2.49534086540497,2.63680896028184,2.56298597223424,2.75620528477171,22
OR,2.55137461395093,2.42815104201676,2.65354737309664,2.47590367386908,2.75791443108269,23
ME,2.53599734576484,2.19866923886995,2.77926227755111,2.2797093739853,2.99534954936158,24
MT,2.53206433443509,2.51381564933308,2.54809120008939,2.69571632167204,2.82041512527278,25
IL,2.5233025107546,2.12689658719179,3.00294260784196,2.2317846590948,3.3872227988945,26
TX,2.50737535031969,2.37233098136914,2.93207900541585,2.55167572790372,3.1683403124058,27
KS,2.50575993208841,2.3476827509677,2.68311878972206,2.49456982025672,2.93593797097766,28
WA,2.50409997344674,2.52885503963086,2.48822686621832,2.66250648368681,2.63703949564981,29
SD,2.49503773090838,2.23009098341716,2.78997270131207,2.27296578122878,2.95227819604001,30
MO,2.46859851707944,2.30524731673364,2.76520416656399,2.44574205499009,3.03989415937379,31
HI,2.45927279058575,1.91192112060105,2.9949999409379,1.94144214324066,3.31865051525451,32
NM,2.4507631304775,1.94112507669445,2.79707697194015,2.03430000854842,3.09829003166732,33
DC,2.41203200747881,2.3566243949555,2.49129551139674,2.46476781506517,2.63394554854565,34
MN,2.37623829977309,2.28360511199876,2.46879323171988,2.18024112264773,2.34643927585847,35
TN,2.33605641205884,2.32787503613205,2.35195817411235,2.42358544686165,2.41461731126309,36
LA,2.31896278114265,2.21135939705812,2.75584364768341,2.4113405284377,3.0418663030173,37
KY,2.30472989031871,2.1380229169602,2.43236416007896,2.32776976527869,2.68423962871726,38
ND,2.2709592850048,2.17336680609981,2.35379420035728,2.17996066553018,2.41310935918939,39
IA,2.26929843253963,2.10192700399087,2.5820450210165,2.1257171654962,2.65104329295346,40
OK,2.24950322325554,2.13920915088838,2.78181938584638,2.31705308932251,3.07859916768141,41
PA,2.23899340747177,1.92049745201427,2.54636895995729,1.99515066186954,2.85949348392832,42
UT,2.16569463536785,2.06746793508555,2.23183714352817,2.17635315966712,2.35777360252195,43
NH,2.15588906841882,1.95023315633512,2.75688795971756,1.97308066779145,2.83479979765265,44
AL,2.11162893284952,2.15612211841695,1.85399211738219,2.35642249830803,1.95516253526771,45
RI,1.96989930845847,2.16676093445439,1.82880605433907,2.26629309582236,1.83878983701196,46
MA,1.92969655246674,1.90445149525214,1.95497527642774,1.93019122997593,2.00232412361931,47
MI,1.88623055937962,2.06432357875264,1.71864264266173,2.20972682910598,1.85829480881568,48
MS,1.84557105363858,1.81376747301435,1.93297669167267,1.90222109727271,1.99544525480961,49
AR,1.62374298338339,1.82416144335206,1.44437957989769,1.90583909418149,1.43094631699752,50
