outcome,state,post_rmspe,post_pre_ratio
TOT_MDCR_STDZD_PYMT_PC,AK,244.814825,5.802626
TOT_MDCR_STDZD_PYMT_PC,AL,103.667973,1.876243
TOT_MDCR_STDZD_PYMT_PC,AR,131.321628,10.728631
TOT_MDCR_STDZD_PYMT_PC,AZ,356.860983,84.030081
TOT_MDCR_STDZD_PYMT_PC,CA,622.037053,45.220048
TOT_MDCR_STDZD_PYMT_PC,CO,100.516978,1480.607783
TOT_MDCR_STDZD_PYMT_PC,CT,618.342257,34.811338
TOT_MDCR_STDZD_PYMT_PC,DC,209.774606,5.077887
TOT_MDCR_STDZD_PYMT_PC,DE,163.955783,3.07831
TOT_MDCR_STDZD_PYMT_PC,FL,553.076232,17.996737
TOT_MDCR_STDZD_PYMT_PC,GA,161.662116,206.690691
TOT_MDCR_STDZD_PYMT_PC,HI,795.89865,40.282617
TOT_MDCR_STDZD_PYMT_PC,IA,85.230573,5.111807
TOT_MDCR_STDZD_PYMT_PC,ID,88.454005,5.278713
TOT_MDCR_STDZD_PYMT_PC,IL,213.345713,43.635376
TOT_MDCR_STDZD_PYMT_PC,IN,182.682452,32.040524
TOT_MDCR_STDZD_PYMT_PC,KS,209.705038,40.72713
TOT_MDCR_STDZD_PYMT_PC,KY,75.250143,6.458487
TOT_MDCR_STDZD_PYMT_PC,LA,564.290706,29.205305
TOT_MDCR_STDZD_PYMT_PC,MA,154.370198,55861115.44708
TOT_MDCR_STDZD_PYMT_PC,ME,362.391222,17.571272
TOT_MDCR_STDZD_PYMT_PC,MI,395.008888,30.332775
TOT_MDCR_STDZD_PYMT_PC,MN,466.714718,27.593943
TOT_MDCR_STDZD_PYMT_PC,MO,125.963575,15702145.981122
TOT_MDCR_STDZD_PYMT_PC,MS,433.700546,14.532331
TOT_MDCR_STDZD_PYMT_PC,MT,247.057985,18.407816
TOT_MDCR_STDZD_PYMT_PC,NC,477.372277,173.995575
TOT_MDCR_STDZD_PYMT_PC,ND,177.925227,4.600816
TOT_MDCR_STDZD_PYMT_PC,NE,140.886637,4.724764
TOT_MDCR_STDZD_PYMT_PC,NH,399.361643,29.127722
TOT_MDCR_STDZD_PYMT_PC,NJ,162.217203,9.795614
TOT_MDCR_STDZD_PYMT_PC,NM,245.136516,8.814821
TOT_MDCR_STDZD_PYMT_PC,NV,553.815346,38.192401
TOT_MDCR_STDZD_PYMT_PC,NY,230.249111,15.154232
TOT_MDCR_STDZD_PYMT_PC,OH,524.532124,4.95424
TOT_MDCR_STDZD_PYMT_PC,OK,416.669934,7.232838
TOT_MDCR_STDZD_PYMT_PC,OR,545.104411,37.252895
TOT_MDCR_STDZD_PYMT_PC,PA,458.439147,83.327816
TOT_MDCR_STDZD_PYMT_PC,RI,122.048231,1.930428
TOT_MDCR_STDZD_PYMT_PC,SC,216.37665,21.157061
TOT_MDCR_STDZD_PYMT_PC,SD,190.356661,20869959.255366
TOT_MDCR_STDZD_PYMT_PC,TN,327.898588,20974238.261098
TOT_MDCR_STDZD_PYMT_PC,TX,113.347988,4.950795
TOT_MDCR_STDZD_PYMT_PC,UT,65.522135,9.829529
TOT_MDCR_STDZD_PYMT_PC,VA,314.3757,217.291221
TOT_MDCR_STDZD_PYMT_PC,WA,352.073362,209577668.636457
TOT_MDCR_STDZD_PYMT_PC,WI,123.429983,11585298.330654
TOT_MDCR_STDZD_PYMT_PC,WV,111.586839,3.347844
TOT_MDCR_STDZD_PYMT_PC,WY,180.962821,5.527169
IP_CVRD_STAYS_PER_1000_BENES,AK,12.109339,8.603663
IP_CVRD_STAYS_PER_1000_BENES,AL,3.79546,2.509463
IP_CVRD_STAYS_PER_1000_BENES,AR,1.872971,81.676959
IP_CVRD_STAYS_PER_1000_BENES,AZ,5.645237,11.424678
IP_CVRD_STAYS_PER_1000_BENES,CA,4.228093,3.385527
IP_CVRD_STAYS_PER_1000_BENES,CO,4.553876,89.63369
IP_CVRD_STAYS_PER_1000_BENES,CT,16.792756,78.869212
IP_CVRD_STAYS_PER_1000_BENES,DC,21.21045,3.689771
IP_CVRD_STAYS_PER_1000_BENES,DE,2.962818,1.078367
IP_CVRD_STAYS_PER_1000_BENES,FL,4.375277,6.197993
IP_CVRD_STAYS_PER_1000_BENES,GA,7.699773,105.738254
IP_CVRD_STAYS_PER_1000_BENES,HI,15.966049,13.536646
IP_CVRD_STAYS_PER_1000_BENES,IA,4.472114,123.069634
IP_CVRD_STAYS_PER_1000_BENES,ID,10.322091,152.944854
IP_CVRD_STAYS_PER_1000_BENES,IL,2.948142,12.51134
IP_CVRD_STAYS_PER_1000_BENES,IN,3.612064,104.913742
IP_CVRD_STAYS_PER_1000_BENES,KS,6.736105,25.925233
IP_CVRD_STAYS_PER_1000_BENES,KY,13.266105,14.743462
IP_CVRD_STAYS_PER_1000_BENES,LA,8.114737,10.488153
IP_CVRD_STAYS_PER_1000_BENES,MA,10.398691,14.150476
IP_CVRD_STAYS_PER_1000_BENES,ME,4.637801,6.723406
IP_CVRD_STAYS_PER_1000_BENES,MI,14.508486,221.092132
IP_CVRD_STAYS_PER_1000_BENES,MN,4.634173,4.786521
IP_CVRD_STAYS_PER_1000_BENES,MO,3.740964,10740969.207333
IP_CVRD_STAYS_PER_1000_BENES,MS,14.593966,27.313884
IP_CVRD_STAYS_PER_1000_BENES,MT,10.628391,24.806008
IP_CVRD_STAYS_PER_1000_BENES,NC,4.326512,29082580.763883
IP_CVRD_STAYS_PER_1000_BENES,ND,8.443036,8.820586
IP_CVRD_STAYS_PER_1000_BENES,NE,3.678721,1.448296
IP_CVRD_STAYS_PER_1000_BENES,NH,6.428637,5.323641
IP_CVRD_STAYS_PER_1000_BENES,NJ,6.952417,10.600643
IP_CVRD_STAYS_PER_1000_BENES,NM,7.490966,8.694264
IP_CVRD_STAYS_PER_1000_BENES,NV,7.072235,1.359415
IP_CVRD_STAYS_PER_1000_BENES,NY,3.510373,5.051833
IP_CVRD_STAYS_PER_1000_BENES,OH,7.61172,2.621483
IP_CVRD_STAYS_PER_1000_BENES,OK,6.016146,22.722293
IP_CVRD_STAYS_PER_1000_BENES,OR,7.442203,15.681894
IP_CVRD_STAYS_PER_1000_BENES,PA,2.742175,15.456584
IP_CVRD_STAYS_PER_1000_BENES,RI,11.241379,2.457466
IP_CVRD_STAYS_PER_1000_BENES,SC,9.270653,10.70968
IP_CVRD_STAYS_PER_1000_BENES,SD,2.848007,17298779.685816
IP_CVRD_STAYS_PER_1000_BENES,TN,11.171918,47872601.653198
IP_CVRD_STAYS_PER_1000_BENES,TX,7.651459,58888678.334587
IP_CVRD_STAYS_PER_1000_BENES,UT,3.210759,6.685268
IP_CVRD_STAYS_PER_1000_BENES,VA,5.678964,55.078497
IP_CVRD_STAYS_PER_1000_BENES,WA,1.762532,57861099.390836
IP_CVRD_STAYS_PER_1000_BENES,WI,14.334667,29976757.84383
IP_CVRD_STAYS_PER_1000_BENES,WV,8.936734,4.435655
IP_CVRD_STAYS_PER_1000_BENES,WY,5.122391,3.067144
ER_VISITS_PER_1000_BENES,AK,32.46186,11.208488
ER_VISITS_PER_1000_BENES,AL,9.54652,0.911989
ER_VISITS_PER_1000_BENES,AR,11.452673,8967036.274258
ER_VISITS_PER_1000_BENES,AZ,22.652928,22.417195
ER_VISITS_PER_1000_BENES,CA,12.460158,1.97102
ER_VISITS_PER_1000_BENES,CO,11.979682,11.188538
ER_VISITS_PER_1000_BENES,CT,52.299887,32.138705
ER_VISITS_PER_1000_BENES,DC,119.259115,21.359515
ER_VISITS_PER_1000_BENES,DE,18.315233,13.521984
ER_VISITS_PER_1000_BENES,FL,13.180941,34.115191
ER_VISITS_PER_1000_BENES,GA,22.433453,187.22464
ER_VISITS_PER_1000_BENES,HI,26.823617,5.659973
ER_VISITS_PER_1000_BENES,IA,25.549198,41.026726
ER_VISITS_PER_1000_BENES,ID,39.230327,93279708.35151
ER_VISITS_PER_1000_BENES,IL,10.661037,5.721632
ER_VISITS_PER_1000_BENES,IN,10.272392,3.337432
ER_VISITS_PER_1000_BENES,KS,3.483033,6.5932
ER_VISITS_PER_1000_BENES,KY,26.819744,12.742798
ER_VISITS_PER_1000_BENES,LA,52.173691,28.798638
ER_VISITS_PER_1000_BENES,MA,18.160385,129.049274
ER_VISITS_PER_1000_BENES,ME,44.077325,41.793987
ER_VISITS_PER_1000_BENES,MI,3.299037,40.426791
ER_VISITS_PER_1000_BENES,MN,20.012672,9.451957
ER_VISITS_PER_1000_BENES,MO,32.634784,17.55103
ER_VISITS_PER_1000_BENES,MS,49.035873,12.012465
ER_VISITS_PER_1000_BENES,MT,19.274163,10.963032
ER_VISITS_PER_1000_BENES,NC,44.290798,57139956.758586
ER_VISITS_PER_1000_BENES,ND,6.316764,4.447894
ER_VISITS_PER_1000_BENES,NE,25.630995,13.949807
ER_VISITS_PER_1000_BENES,NH,14.922735,8.097139
ER_VISITS_PER_1000_BENES,NJ,19.609589,24.040892
ER_VISITS_PER_1000_BENES,NM,12.037591,7.954712
ER_VISITS_PER_1000_BENES,NV,26.068484,8.127415
ER_VISITS_PER_1000_BENES,NY,11.704982,10.969657
ER_VISITS_PER_1000_BENES,OH,13.633169,1.582519
ER_VISITS_PER_1000_BENES,OK,10.458532,20639465.394306
ER_VISITS_PER_1000_BENES,OR,27.304821,11.907176
ER_VISITS_PER_1000_BENES,PA,12.668495,18.751585
ER_VISITS_PER_1000_BENES,RI,28.901412,0.882441
ER_VISITS_PER_1000_BENES,SC,11.990022,31.816946
ER_VISITS_PER_1000_BENES,SD,31.418488,16010624.495804
ER_VISITS_PER_1000_BENES,TN,43.964684,80320143.098089
ER_VISITS_PER_1000_BENES,TX,17.593995,12.164224
ER_VISITS_PER_1000_BENES,UT,27.429414,11.86206
ER_VISITS_PER_1000_BENES,VA,19.579892,32.613964
ER_VISITS_PER_1000_BENES,WA,6.893617,5694485.959061
ER_VISITS_PER_1000_BENES,WI,43.795176,20.955195
ER_VISITS_PER_1000_BENES,WV,27.381763,5.995257
ER_VISITS_PER_1000_BENES,WY,16.085138,5.561175
