year,payer,metric,value,source_url
2017,medicare_mssp,settlement_payment_usd,0,http://web.archive.org/web/20260112194349/https://www.onecarevt.org/wp-content/uploads/2019/01/Shared_Savings_and_Losses_Web.pdf
2013,medicare_mssp,settlement_payment_usd,0,http://web.archive.org/web/20260112194349/https://www.onecarevt.org/wp-content/uploads/2019/01/Shared_Savings_and_Losses_Web.pdf
2014,medicare_mssp,settlement_payment_usd,0,http://web.archive.org/web/20260112194349/https://www.onecarevt.org/wp-content/uploads/2019/01/Shared_Savings_and_Losses_Web.pdf
2015,medicare_mssp,settlement_payment_usd,0,http://web.archive.org/web/20260112194349/https://www.onecarevt.org/wp-content/uploads/2019/01/Shared_Savings_and_Losses_Web.pdf
2016,medicare_mssp,settlement_payment_usd,0,http://web.archive.org/web/20260112194349/https://www.onecarevt.org/wp-content/uploads/2019/01/Shared_Savings_and_Losses_Web.pdf
2018,medicare,settlement_payment_usd,13345337,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2018,medicare,advanced_shared_savings_usd,7776760,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2018,medicaid,settlement_payment_usd,-1500000,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2018,medicaid,settlement_note,estimate_approx_paid_dvha_within_1pct_target,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2018,bcbsvt_qhp,settlement_payment_usd,-645574,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2019,medicare,settlement_payment_usd,11059786,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2019,medicare,settlement_pct_tcoc,2.2,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2019,medicare,advanced_shared_savings_usd,8021268,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2019,medicare,quality_score_pct,91.88,https://vermontbiz.com/news/2020/october/07/onecare-providers-earn-113-million-medicare-shared-savings
2019,medicaid,settlement_payment_usd,-6505293,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2019,medicaid,settlement_pct_tcoc,-3.2,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2019,medicaid,fixed_payment_performance_usd,8245865,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2019,medicaid,combined_result_usd,1740572,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2019,bcbsvt,settlement_payment_usd,0,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2019,bcbsvt,reinvestment_required_usd,10000,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2020,medicare,settlement_payment_usd,16313471,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2020,medicare,settlement_pct_tcoc,4,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2020,medicare,advanced_shared_savings_usd,8400000,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2020,medicaid,settlement_payment_usd,11621236,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2020,medicaid,settlement_pct_tcoc,3.6,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2020,medicaid,fixed_payment_performance_usd,43738036,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2020,medicaid,combined_result_usd,55359272,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2020,bcbsvt_qhp,settlement_payment_usd,50000,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2020,bcbsvt_primary,settlement_payment_usd,75000,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
