year,vt_aa_rate,peer6_mean_aa_rate,gap
1999,10.25,9.09,1.16
2000,12.34,8.31,4.03
2001,11.4,9.07,2.33
2002,14.31,8.49,5.82
2003,13.03,8.29,4.74
2004,14.54,8.42,6.12
2005,12.48,8.69,3.79
2006,12.18,8.63,3.54
2007,13.85,9.28,4.57
2008,14.08,9.81,4.27
2009,12.96,9.98,2.98
2010,15.72,10.89,4.83
2011,17.76,10.94,6.82
2012,13.02,10.82,2.21
2013,16.77,11.23,5.54
2014,18.74,11.61,7.13
2015,14.8,11.73,3.08
2016,17.28,11.88,5.4
2017,18.31,12.94,5.37
2018,18.8,12.7,6.11
2019,15.99,12.66,3.33
2020,18.12,11.18,6.94
